fraction,n_samples,model,roc_auc
0.1,1253,ZScoreBaseline,0.7692442293373045
0.1,1253,LOF,0.9545569620253165
0.1,1253,IsolationForest,0.7162472077438571
0.1,1253,OneClassSVM,0.8873641102010423
0.1,1253,Autoencoder,0.8801787043931497
0.2,2507,ZScoreBaseline,0.7692442293373045
0.2,2507,LOF,0.9683842144452718
0.2,2507,IsolationForest,0.7279300074460164
0.2,2507,OneClassSVM,0.8943037974683544
0.2,2507,Autoencoder,0.9091883842144453
0.3,3760,ZScoreBaseline,0.7692442293373045
0.3,3760,LOF,0.9681682799702159
0.3,3760,IsolationForest,0.7212360387192852
0.3,3760,OneClassSVM,0.8958376768428891
0.3,3760,Autoencoder,0.8917870439314968
0.4,5014,ZScoreBaseline,0.7692442293373045
0.4,5014,LOF,0.9692181682799702
0.4,5014,IsolationForest,0.7220699925539836
0.4,5014,OneClassSVM,0.896276991809382
0.4,5014,Autoencoder,0.9002978406552494
0.5,6268,ZScoreBaseline,0.7692442293373045
0.5,6268,LOF,0.9760759493670886
0.5,6268,IsolationForest,0.7209605361131795
0.5,6268,OneClassSVM,0.8968279970215935
0.5,6268,Autoencoder,0.9019136262099776
0.6,7521,ZScoreBaseline,0.7692442293373045
0.6,7521,LOF,0.972777364110201
0.6,7521,IsolationForest,0.7416827997021593
0.6,7521,OneClassSVM,0.9021370067014147
0.6,7521,Autoencoder,0.9035145197319434
0.7,8775,ZScoreBaseline,0.7692442293373045
0.7,8775,LOF,0.97596425912137
0.7,8775,IsolationForest,0.7359493670886076
0.7,8775,OneClassSVM,0.9009381980640357
0.7,8775,Autoencoder,0.9008786299329858
0.8,10028,ZScoreBaseline,0.7692442293373045
0.8,10028,LOF,0.974512285927029
0.8,10028,IsolationForest,0.7318168279970216
0.8,10028,OneClassSVM,0.8994713328369323
0.8,10028,Autoencoder,0.8959493670886076
0.9,11282,ZScoreBaseline,0.7692442293373045
0.9,11282,LOF,0.9753239017125837
0.9,11282,IsolationForest,0.7261280714817573
0.9,11282,OneClassSVM,0.9005956813104989
0.9,11282,Autoencoder,0.9003350707371556
1.0,12536,ZScoreBaseline,0.7692442293373045
1.0,12536,LOF,0.9749962769918094
1.0,12536,IsolationForest,0.7239314966492926
1.0,12536,OneClassSVM,0.9008711839166047
1.0,12536,Autoencoder,0.8979300074460164
